Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,
,,,,,2018.11.27,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,E170,SPLDH,WAW,KUN,00:45:00,,,,7,,,,,,,,,,,
,2,LO796,E170,SPLDH,KUN,WAW,06:15:00,,,,7,,,0C/1P/41Y,,,42,,1,8-9,,
,3,FR7621,B738,EIFOR,KUN,CPH,06:20:00,,,,2,,,186/8/2,,,24,,2,1-2-3,,
,4,SWN7842,ATP,,CGN,KUN,06:55:00,,,,8,,,,,,,,,,,
,5,SWN7843,ATP,,KUN,CGN,08:00:00,,,,8,,,,,,,,,,,
,6,FR2836,B738,EIEVA,KUN,TLV,08:00:00,,,,5,,,116/1/1,,,38,,5,1-2-3,,
,7,SRN6912,AT72,,EDDK,KUN,08:00:00,,,,9,,,,,,,,,,,
,8,SRN6912,AT72,,KUN,RIX,08:45:00,,,,9,,,,,,,,,,,
,9,SAR802,SF34,,WAW,KUN,09:50:00,,,,9,,,,,,,,,,,
,10,SPNCG,SR22,SPNCG,WAW,KUN,08:40:00,,,,2,,,,,,,,,,,
,11,SPNCG,SR22,SPNCG,KUN,WAW,09:00:00,,,,2,,,,,,,,,,,
,12,W68146,A320,HALWS,SVG,KUN,12:15:00,,,,4,,,,,,,,,,,
,13,W68145,A320,HALWS,KUN,SVG,12:45:00,,,,4,,,140/11/5,,WCHC,72,,2,4-5-6,,
,14,FR7620,B738,EIEVH,CPH,KUN,14:40:00,,,,4,,,,,,,,,,,
,15,FR3467,B738,EIEVH,KUN,LTN,15:55:00,,,,4,,,172/13/3,,WCHS;WCHR,28,,5,1-2-3,,
,16,FR2837,B738,EIEVA,TLV,KUN,16:40:00,,,,4,,,,,,,,,,,
,17,FR1794,B738,EIEVA,KUN,MXP,17:30:00,,,,4,,,117/0/0,,,27,,2,1-2-3,,
,18,FR9098,B738,EIGXI,ALC,KUN,19:00:00,,,,4,,,,,WCHR,,,,,,
,19,FR9099,B738,EIGXI,KUN,ALC,19:25:00,,,,4,,,174/14/6,,,54,,2,1-2-3,,
,20,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,,
,21,SRN6911,AT72,,RIX,KUN,21:15:00,,,,9,,,,,,,,,,,
,22,SRN6911,AT72,,KUN,EDDK,21:50:00,,,,9,,,,,,,,,,,
,23,FR3466,B738,EIEVH,LTN,KUN,21:25:00,,,,2,,,,,,,,,,,
,24,FR1793,B738,EIEVA,MXP,KUN,23:05:00,,,,5,,,,,,,,,,,
,,,,,,,,,,,,,,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,19:53:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0C/1P/41Y,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
