Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,,
,,,,,2018.10.29,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojamas,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,E75S,,WAW,KUN,00:45:00,,,,7,,,,,,,,,,
,2,LO796,E75S,,KUN,WAW,06:15:00,,,,7,,,1C/2P/54Y,,,57,,1,8-9,
,3,FR7621,B738,EIENH,KUN,CPH,06:20:00,,,,4,,,184/14/1,,WCHR,17,,2,1-2-3,
,4,FR2145,B738,EIDWE,KUN,STN,06:40:00,,,,2,,,156/30/1,,WCHS,10,,5,1-2-3,
,5,SRN6912,AT72,,CGN,KUN,07:30:00,,,,9,,,,,,,,,,
,6,SRN6912,AT72,,KUN,RIX,08:05:00,,,,9,,,,,,,,,,
,7,SAR802,SF34,,WAW,KUN,09:20:00,,,,9,,,,,,,,,,
,8,W98122,A320,GWUKE,LTN,KUN,10:30:00,,,,4,,,,,,,,,,
,9,W98121,A320,GWUKE,KUN,LTN,11:05:00,,,,4,,,146/29/2,,,29,,5,4-5-6,
,10,FR2144,B738,EIDWE,STN,KUN,12:20:00,,,,2,,,,,WCHR,,,,,
,11,FR3467,B738,EIDWE,KUN,LTN,15:30:00,,,,2,,,146/42/6,,,18,,5,1-2-3,
,12,W68152,A321,HALXW,EIN,KUN,12:50:00,,,,7,,,,,,,,,,
,13,W68151,A321,HALXW,KUN,EIN,13:25:00,,,,7,,,198/28/4,,,53,,2,4-5-6,
,14,FR7620,B738,EIENH,CPH,KUN,14:40:00,,,,4,,,,,WCHR*2,,,,,
,15,FR2972,B738,EIENH,KUN,DUB,15:40:00,,,,4,,,186/11/2,,,12,,6,1-2-3,
,16,W68144,A320,HALWX,BGO,KUN,18:20:00,,,,4,,,,,,,,,,
,17,W68143,A320,HALWX,KUN,BGO,18:50:00,,,,4,,,174/7/2,,,65,,2,4-5-6,
,18,FR7949,B738,EIENY,BLQ,KUN,19:30:00,,,,7,,,,,WCHR,,,,,
,19,FR7950,B738,EIENY,KUN,BLQ,19:55:00,,,,7,,,135/20/1,,,13,,2,1-2-3,
,20,W68142,A321,HALPZ,AES,KUN,19:45:00,,,,4,,,,,,,,,,
,21,W68141,A321,HALPZ,KUN,AES,20:30:00,,,,4,,,166/8/0,,,71,,2,4-5-6,
,22,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,
,23,FR8681,B738,EIDYF,BRS,KUN,20:30:00,,,,2,,,,,,,,,,
,24,FR8682,B738,EIDYF,KUN,BRS,20:55:00,,,,2,,,152/40/4,,,20,,5,1-2-3,
,25,JET5,C25B,SERMB,LJMB,KUN,19:55:00,,,,6,,,,3,,,,,,
,26,SRN6911,AT72,,RIX,KUN,21:05:00,,,,9,,,,,,,,,,
,27,SRN6911,AT72,,KUN,CGN,21:50:00,,,,9,,,,,,,,,,
,28,FR3466,B738,EIDWE,LTN,KUN,21:25:00,,,,2,,,,,,,,,,
,29,FR2971,B738,EIENH,DUB,KUN,22:30:00,,,,4,,,,,WCHR*2,,,,,
,,,,,,,,,,,,,,0,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
